School,City,State,Zip,Lat,Lon,Region,Locale,2yr/4yr,Online only?,School size (students),Pubic or Private
Lorenzo Walker Technical College,Naples,FL,34104-4405,26.141141,-81.763568,5,21.0,2,0.0,741.0,1
The Baptist College of Florida,Graceville,FL,32440,30.962708,-85.503931,5,32.0,1,0.0,338.0,2
South University-West Palm Beach,Royal Palm Beach,FL,33411,26.69215,-80.200219,5,21.0,1,0.0,554.0,3
Eckerd College,Saint Petersburg,FL,33711-4700,27.715798,-82.687043,5,11.0,1,0.0,1987.0,2
Florida SouthWestern State College,Fort Myers,FL,33919,26.552403,-81.887102,5,21.0,1,0.0,12651.0,1
Florida State College at Jacksonville,Jacksonville,FL,32202,30.334918,-81.659901,5,11.0,1,0.0,20171.0,1
Wesley College,Dover,DE,19901-3875,39.163182,-75.527716,2,13.0,1,0.0,1163.0,2
Bethune-Cookman University,Daytona Beach,FL,32114-3099,29.207195,-81.032946,5,13.0,1,0.0,3619.0,2
Vermont Law School,South Royalton,VT,05068-0096,43.821406,-72.520919,1,43.0,1,0.0,,2
Rabbi Jacob Joseph School,Edison,NJ,08817-4494,40.501001,-74.397954,2,21.0,1,0.0,57.0,2
Florida College of Integrative Medicine,Orlando,FL,32809-5721,28.46359,-81.401757,5,21.0,1,0.0,,3
Montessori Institute of Milwaukee,Milwaukee,WI,53204-1504,43.024779,-87.915838,3,11.0,1,0.0,,2
Western Governors University,Salt Lake City,UT,84107,40.68481,-111.869752,7,21.0,1,1.0,88921.0,2
Academy of Hair Design-Lufkin,Lufkin,TX,75904,31.330724,-94.718704,6,33.0,3,0.0,84.0,3
Toni & Guy Hairdressing Academy-Worcester,Worcester,MA,01605-2213,42.284822,-71.808255,1,12.0,3,0.0,231.0,3
Blue Cliff College-Metairie,Metairie,LA,70002-5714,30.002779,-90.172771,5,12.0,2,0.0,861.0,3
Fortis College-Foley,Foley,AL,36535,30.40611,-87.681828,5,31.0,3,0.0,108.0,3
Velvatex College of Beauty Culture,Little Rock,AR,72202-5452,34.735685,-92.289597,5,12.0,3,0.0,16.0,3
Five Branches University,Santa Cruz,CA,95062,36.964348,-121.998245,8,22.0,1,0.0,,3
Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,11211,40.704389,-73.956772,2,11.0,1,0.0,218.0,2
AOMA Graduate School of Integrative Medicine,Austin,TX,78745,30.228551,-97.800643,6,11.0,1,0.0,,3
