School,State,Online only?,School size (students),2yr/4yr,Pubic or Private,Tuition (in state),Tuition (out of state),Earnings after 10 years - mean,Earnings after 10 years - median,Earnings after 10 years - std,Earnings after 10 years - mean - female,Earnings after 10 years - mean - male,Earnings after 6 years - mean,Earnings after 6 years - median,Earnings after 6 years - std,Earnings after 6 years - mean - female,Earnings after 6 years - mean - male
University of Washington-Bothell Campus,WA,0.0,5363.0,1,1,11138.0,36519.0,61500.0,54100.0,43100.0,54800.0,69400.0,47900.0,41500.0,41100.0,42700.0,54100.0
Colegio Mayor de Tecnologia Inc,PR,0.0,7.0,3,3,,,18500.0,16300.0,13900.0,,,17100.0,12700.0,17700.0,14000.0,19400.0
Institucion Chaviano de Mayaguez,PR,0.0,58.0,3,3,,,,,,,,,,,,
School of Automotive Machinists & Technology,TX,0.0,182.0,2,3,,,45400.0,43700.0,30900.0,,,46700.0,41600.0,26900.0,,
Fond du Lac Tribal and Community College,MN,0.0,634.0,2,1,5319.0,5319.0,31200.0,29300.0,21000.0,26500.0,39100.0,27500.0,24800.0,19800.0,24300.0,31600.0
Nuvani Institute,TX,0.0,17.0,3,3,,,,,,,,,,,,
Central Coast College,CA,0.0,245.0,2,3,,,33400.0,33100.0,18700.0,,,23900.0,23900.0,14900.0,,
University of Phoenix-Utah,UT,0.0,54.0,1,3,,,69800.0,62800.0,49400.0,63700.0,78600.0,39500.0,33400.0,32500.0,34600.0,49000.0
College of the Marshall Islands,MH,0.0,1111.0,1,1,4885.0,5105.0,,,,,,,,,,
Centura College-Norfolk,VA,0.0,166.0,2,3,16337.0,16337.0,27200.0,25300.0,19200.0,24800.0,34400.0,20100.0,17200.0,25000.0,19000.0,25200.0
CET-Coachella,CA,0.0,84.0,3,2,,,27000.0,24000.0,19400.0,23500.0,31800.0,22100.0,17500.0,19100.0,17900.0,25900.0
