School,State,Online only?,School size (students),2yr/4yr,Pubic or Private,Tuition (in state),Tuition (out of state),Earnings after 10 years - mean,Earnings after 10 years - median,Earnings after 10 years - std,Earnings after 10 years - mean - female,Earnings after 10 years - mean - male,Earnings after 6 years - mean,Earnings after 6 years - median,Earnings after 6 years - std,Earnings after 6 years - mean - female,Earnings after 6 years - mean - male
Lees-McRae College,NC,0.0,952.0,1,2,25878.0,25878.0,36500.0,35700.0,21800.0,34900.0,38400.0,26500.0,24800.0,17600.0,26000.0,27300.0
Lenoir-Rhyne University,NC,0.0,1699.0,1,2,36400.0,36400.0,47000.0,42900.0,29400.0,45300.0,49800.0,31400.0,29800.0,18000.0,31300.0,31600.0
University of North Carolina at Greensboro,NC,0.0,16238.0,1,1,7331.0,22490.0,44500.0,40300.0,29500.0,41200.0,51300.0,30600.0,29600.0,17900.0,29800.0,32500.0
The Art Institute of Cincinnati-AIC College of Design,OH,0.0,17.0,1,3,15674.0,15674.0,,,,,,,,,,
Apollo Career Center,OH,0.0,449.0,3,1,,,,,,,,24700.0,24800.0,12300.0,,
Art Academy of Cincinnati,OH,0.0,191.0,1,2,33450.0,33450.0,35800.0,33000.0,21200.0,,,19100.0,17300.0,11200.0,,
Tri-County Community College,NC,0.0,484.0,2,1,2363.0,8507.0,23600.0,21300.0,18000.0,22000.0,30000.0,20800.0,19000.0,13200.0,19100.0,24500.0
JZ Trend Academy Paul Mitchell Partner School,ND,0.0,25.0,2,3,,,,,,,,,,,,
Trinity Bible College and Graduate School,ND,0.0,176.0,1,2,16320.0,16320.0,29700.0,25800.0,21600.0,19300.0,39700.0,27500.0,23900.0,20500.0,19600.0,32900.0
Warren Wilson College,NC,0.0,635.0,1,2,36280.0,36280.0,31100.0,27500.0,22500.0,30700.0,31800.0,19300.0,15700.0,13500.0,19400.0,19100.0
Ross Medical Education Center-Cincinnati,OH,0.0,142.0,3,3,,,28700.0,28700.0,16400.0,,,23900.0,24800.0,11800.0,,
Cincinnati College of Mortuary Science,OH,0.0,78.0,1,2,,,46000.0,47700.0,22400.0,,,36400.0,39300.0,18300.0,30400.0,42600.0
Eastern Gateway Community College,OH,0.0,13157.0,2,1,4076.0,7188.0,27500.0,24300.0,19900.0,24300.0,33600.0,23400.0,20400.0,17200.0,20900.0,27500.0
Bryant & Stratton College-Cleveland,OH,0.0,202.0,1,3,17283.0,17283.0,30100.0,28300.0,21000.0,28100.0,35300.0,23000.0,20500.0,20600.0,22500.0,24500.0
Ohio Christian University,OH,0.0,2737.0,1,2,20806.0,20806.0,35600.0,30900.0,23800.0,,,30300.0,27500.0,23200.0,25700.0,34600.0
Miami University-Oxford,OH,0.0,17038.0,1,1,15380.0,34896.0,55700.0,48200.0,53000.0,48500.0,64900.0,38200.0,36000.0,23600.0,36400.0,40400.0
Ashtabula County Technical and Career Campus,OH,0.0,130.0,3,1,,,28600.0,27200.0,18900.0,,,28000.0,27300.0,16600.0,,
Vance-Granville Community College,NC,0.0,2036.0,2,1,1948.0,6556.0,28800.0,26500.0,18900.0,28200.0,31200.0,22600.0,20800.0,15400.0,21700.0,24700.0
Cleveland State University,OH,0.0,11603.0,1,1,10457.0,14824.0,43900.0,39800.0,30800.0,39800.0,49500.0,35600.0,32200.0,23400.0,34300.0,37300.0
Bradford School,OH,0.0,324.0,2,3,13980.0,13980.0,30000.0,27900.0,21900.0,,,22100.0,21700.0,13100.0,20700.0,26100.0
Terra State Community College,OH,0.0,1344.0,2,1,4652.0,8936.0,33400.0,29800.0,23100.0,27000.0,41600.0,25900.0,23400.0,17700.0,21400.0,32100.0
Northeast Ohio Medical University,OH,0.0,,1,1,,,,,,,,94600.0,63000.0,68500.0,,
University of Toledo,OH,0.0,14893.0,1,1,10293.0,19653.0,44200.0,38700.0,37700.0,38000.0,50600.0,37300.0,33200.0,27300.0,33900.0,40100.0
Ohio University-Main Campus,OH,0.0,22072.0,1,1,12192.0,21656.0,45300.0,40900.0,34000.0,40000.0,52300.0,32900.0,30400.0,22500.0,30700.0,35600.0
Ohio Dominican University,OH,0.0,1080.0,1,2,31080.0,31080.0,46800.0,44500.0,29500.0,43200.0,53200.0,37300.0,34200.0,24000.0,35400.0,39800.0
Walsh University,OH,0.0,1826.0,1,2,29980.0,29980.0,46700.0,43600.0,27600.0,44400.0,49600.0,38800.0,36200.0,19500.0,38100.0,39900.0
Oklahoma Panhandle State University,OK,0.0,1106.0,1,1,7930.0,8674.0,39500.0,38200.0,26300.0,32900.0,45900.0,31600.0,28600.0,23000.0,26400.0,36500.0
Wilberforce University,OH,0.0,643.0,1,2,13250.0,13250.0,35100.0,31100.0,24700.0,34800.0,35500.0,27900.0,24900.0,18800.0,26500.0,29500.0
University of Central Oklahoma,OK,0.0,13118.0,1,1,7489.0,18376.0,43900.0,39700.0,33500.0,38200.0,51700.0,34700.0,32300.0,23100.0,31500.0,39100.0
Wright State University-Main Campus,OH,0.0,10140.0,1,1,9254.0,18398.0,45900.0,40900.0,37100.0,40700.0,52600.0,32500.0,29800.0,21000.0,30200.0,35600.0
Formations Institute of Cosmetology & Barbering,OK,0.0,19.0,3,3,,,,,,,,,,,,
Enid Beauty College,OK,0.0,33.0,3,3,,,15900.0,14600.0,10400.0,,,,,,,
Randall University,OK,0.0,290.0,1,2,15108.0,15108.0,34400.0,31100.0,23200.0,,,31000.0,27400.0,19400.0,,
Rogers State University,OK,0.0,3162.0,1,1,7200.0,15540.0,34400.0,32900.0,22500.0,31600.0,41100.0,30800.0,28000.0,20700.0,28400.0,34400.0
Jenks Beauty College,OK,0.0,73.0,3,3,,,21300.0,18800.0,18000.0,,,19100.0,16200.0,13700.0,,
Northern Oklahoma College,OK,0.0,2546.0,2,1,4170.0,10740.0,36200.0,32200.0,25800.0,33000.0,41800.0,28900.0,25400.0,21900.0,23500.0,35200.0
Southeastern Oklahoma State University,OK,0.0,2960.0,1,1,6750.0,15390.0,38800.0,35900.0,25700.0,32100.0,47000.0,31400.0,29100.0,22100.0,26700.0,37000.0
East West College of the Healing Arts,OR,0.0,297.0,3,3,,,,,,,,22300.0,20000.0,19400.0,,
Warner Pacific University,OR,0.0,363.0,1,2,18660.0,18660.0,40400.0,39100.0,28600.0,32800.0,51900.0,38200.0,32900.0,29700.0,34500.0,43800.0
Corban University,OR,0.0,970.0,1,2,33040.0,33040.0,42000.0,39100.0,28000.0,33000.0,53600.0,30600.0,28500.0,20300.0,27400.0,35600.0
University of Oregon,OR,0.0,18923.0,1,1,11898.0,35478.0,49300.0,44000.0,37900.0,43900.0,55200.0,36000.0,31500.0,34800.0,32700.0,39600.0
Willamette University,OR,0.0,1623.0,1,2,50279.0,50279.0,56200.0,50800.0,33900.0,49700.0,63600.0,33300.0,30700.0,22200.0,29300.0,38500.0
Phagans Beauty College,OR,0.0,48.0,2,3,,,,,,,,16000.0,13600.0,14500.0,,
Jolie Hair and Beauty Academy-Hazleton,PA,0.0,63.0,3,3,,,,,,,,,,,,
Phagans School of Beauty,OR,0.0,32.0,2,3,,,18300.0,15300.0,13300.0,,,,,,,
Albright College,PA,0.0,1897.0,1,2,45306.0,45306.0,56200.0,50500.0,52500.0,49800.0,63500.0,38600.0,36300.0,23300.0,36300.0,41800.0
The Beauty Institute-Ambler,PA,0.0,104.0,3,3,,,,,,,,17400.0,14600.0,14800.0,,
Mount Angel Seminary,OR,0.0,40.0,1,2,22046.0,22046.0,,,,,,,,,,
Portland State University,OR,0.0,18541.0,1,1,9105.0,27437.0,49300.0,44500.0,44500.0,43400.0,56100.0,36100.0,32400.0,25900.0,33000.0,40000.0
Multnomah University,OR,0.0,403.0,1,2,25900.0,25900.0,31800.0,29200.0,22500.0,21500.0,40300.0,26600.0,22900.0,19700.0,20500.0,31300.0
Bucknell University,PA,0.0,3583.0,1,2,56092.0,56092.0,82400.0,71900.0,59600.0,72200.0,91700.0,55600.0,55200.0,29100.0,50700.0,60000.0
Bucks County Community College,PA,0.0,7104.0,2,1,4513.0,12193.0,43100.0,39500.0,29500.0,38500.0,50300.0,32500.0,29500.0,20700.0,32100.0,33200.0
Butler Beauty Academy,PA,0.0,26.0,3,3,,,15100.0,13700.0,10700.0,,,14000.0,12700.0,9300.0,,
Empire Beauty School-York,PA,0.0,113.0,3,3,,,19500.0,17300.0,14600.0,,,18100.0,16400.0,12800.0,,
Delaware County Community College,PA,0.0,11314.0,2,1,5520.0,12920.0,41400.0,37200.0,29500.0,37200.0,48000.0,30900.0,27600.0,22100.0,30500.0,31700.0
California University of Pennsylvania,PA,0.0,5063.0,1,1,11108.0,15726.0,40200.0,36700.0,26600.0,34900.0,45100.0,33100.0,30500.0,21900.0,30500.0,35600.0
Delaware Valley University,PA,0.0,1884.0,1,2,39440.0,39440.0,51300.0,48300.0,34000.0,45300.0,56300.0,33600.0,31300.0,19600.0,31300.0,36500.0
Carlow University,PA,0.0,1314.0,1,2,29454.0,29454.0,40700.0,37600.0,27100.0,,,36400.0,34700.0,22200.0,,
Empire Beauty School-Gwinnett,GA,0.0,120.0,3,3,,,23200.0,18900.0,18000.0,,,17400.0,15300.0,13600.0,,
Haverford College,PA,0.0,1305.0,1,2,54838.0,54838.0,64700.0,53900.0,50700.0,60400.0,70800.0,35100.0,32200.0,24800.0,35700.0,34600.0
Drexel University,PA,0.0,15557.0,1,2,53244.0,53244.0,66300.0,62900.0,45000.0,57200.0,71900.0,53100.0,51300.0,32900.0,52500.0,53800.0
Empire Beauty School-Reading,PA,0.0,101.0,3,3,,,23900.0,21200.0,14800.0,,,20400.0,18100.0,22700.0,,
Erie Institute of Technology Inc,PA,0.0,182.0,2,3,14990.0,14990.0,42400.0,41300.0,24200.0,,,29200.0,26400.0,20500.0,,
Gannon University,PA,0.0,2733.0,1,2,32136.0,32136.0,51600.0,46800.0,32600.0,48700.0,55900.0,43200.0,38300.0,28000.0,43200.0,43100.0
Pennsylvania State University-Penn State Erie-Behrend College,PA,0.0,4117.0,1,1,15198.0,24450.0,53800.0,47700.0,40600.0,46800.0,59800.0,40900.0,37500.0,27100.0,36700.0,44300.0
Lansdale School of Cosmetology Inc,PA,0.0,46.0,3,3,,,,,,,,21900.0,19500.0,14900.0,,
Lebanon Valley College,PA,0.0,1684.0,1,2,43650.0,43650.0,49600.0,46400.0,25900.0,44600.0,56100.0,40000.0,37300.0,25600.0,38200.0,41600.0
Millersville University of Pennsylvania,PA,0.0,6597.0,1,1,12226.0,22196.0,46300.0,45000.0,24900.0,42800.0,50500.0,33100.0,31900.0,17900.0,30400.0,36400.0
Platt College-Berks Technical Institute,PA,0.0,777.0,2,3,,,37400.0,34900.0,23300.0,28600.0,45600.0,26100.0,25600.0,16100.0,21900.0,31700.0
Pennsylvania State University-Main Campus,PA,0.0,40108.0,1,1,18454.0,34858.0,53800.0,47700.0,40600.0,46800.0,59800.0,40900.0,37500.0,27100.0,36700.0,44300.0
Pennsylvania State University-Penn State Abington,PA,0.0,3683.0,1,1,14524.0,23278.0,53800.0,47700.0,40600.0,46800.0,59800.0,40900.0,37500.0,27100.0,36700.0,44300.0
Pennsylvania State University-Penn State Great Valley,PA,0.0,,1,1,,,53800.0,47700.0,40600.0,46800.0,59800.0,40900.0,37500.0,27100.0,36700.0,44300.0
Pennsylvania State University-Penn State Shenango,PA,0.0,317.0,1,1,13342.0,21366.0,53800.0,47700.0,40600.0,46800.0,59800.0,40900.0,37500.0,27100.0,36700.0,44300.0
Pennco Tech-Bristol,PA,0.0,368.0,2,3,,,38400.0,36200.0,23800.0,30500.0,42000.0,30900.0,28300.0,22600.0,19600.0,32600.0
Pennsylvania Academy of the Fine Arts,PA,0.0,199.0,1,2,38878.0,38878.0,31600.0,27000.0,26000.0,,,17000.0,14500.0,15100.0,,
University of Pittsburgh Medical Center-Shadyside School of Nursing,PA,0.0,263.0,2,2,15315.0,15315.0,,,,,,50300.0,51100.0,20500.0,,
Triangle Tech Inc-Dubois,PA,0.0,111.0,2,3,17294.0,17294.0,38500.0,36600.0,23600.0,,,35100.0,33700.0,21500.0,,
Reading Hospital School of Health Sciences,PA,0.0,329.0,2,2,10365.0,10365.0,58600.0,60000.0,31400.0,,,47200.0,50300.0,24300.0,,
Cairn University-Langhorne,PA,0.0,776.0,1,2,27279.0,27279.0,36100.0,34900.0,23400.0,30600.0,41500.0,32300.0,31300.0,19600.0,28000.0,37400.0
Valley Forge Military College,PA,0.0,306.0,2,2,29975.0,29975.0,61200.0,47400.0,105700.0,,,29100.0,25200.0,18900.0,,
The Restaurant School at Walnut Hill College,PA,0.0,335.0,1,3,23550.0,23550.0,40400.0,37700.0,25900.0,35100.0,42500.0,27700.0,26300.0,16500.0,26300.0,29000.0
Saint Charles Borromeo Seminary-Overbrook,PA,0.0,62.0,1,2,20655.0,20655.0,,,,,,,,,,
South Hills Beauty Academy,PA,0.0,90.0,3,3,,,21400.0,19600.0,15500.0,,,21700.0,21000.0,15400.0,,
Swarthmore College,PA,0.0,1544.0,1,2,52588.0,52588.0,74300.0,54800.0,82700.0,66400.0,82300.0,40900.0,33700.0,32200.0,37000.0,43900.0
Westminster College,PA,0.0,1173.0,1,2,36806.0,36806.0,51200.0,47200.0,30300.0,42600.0,63100.0,35000.0,33500.0,20600.0,32200.0,39100.0
Pittsburgh Institute of Aeronautics,PA,0.0,499.0,2,2,21589.0,21589.0,55100.0,53700.0,34900.0,,,44600.0,42000.0,28000.0,,
Columbia College,SC,0.0,1159.0,1,2,19500.0,19500.0,38800.0,35600.0,28600.0,,,27100.0,26300.0,15900.0,,
Converse College,SC,0.0,893.0,1,2,18340.0,18340.0,39200.0,34600.0,33300.0,,,24600.0,23700.0,13600.0,,
Northeastern Technical College,SC,0.0,901.0,2,1,4398.0,7158.0,26600.0,24100.0,17600.0,24200.0,34100.0,22900.0,19800.0,16900.0,20600.0,29700.0
Citadel Military College of South Carolina,SC,0.0,2882.0,1,1,12516.0,34988.0,60200.0,55300.0,37400.0,,,41100.0,36700.0,39500.0,,
University of South Carolina Beaufort,SC,0.0,2040.0,1,1,10730.0,21776.0,36600.0,35000.0,28200.0,32300.0,47600.0,30300.0,27300.0,18800.0,28500.0,33500.0
University of South Carolina-Salkehatchie,SC,0.0,613.0,2,1,7558.0,18238.0,33400.0,29100.0,25700.0,30000.0,40400.0,23000.0,20400.0,16000.0,20700.0,26800.0
Coastal Carolina University,SC,0.0,9474.0,1,1,11716.0,26828.0,42000.0,37900.0,31700.0,37900.0,46900.0,31100.0,28800.0,19700.0,29200.0,33300.0
Sherman College of Chiropractic,SC,0.0,,1,2,,,,,,,,40300.0,35100.0,29600.0,,
Spartanburg Methodist College,SC,0.0,868.0,2,2,17035.0,17035.0,34000.0,32500.0,22100.0,31800.0,35600.0,24200.0,23900.0,14200.0,19800.0,27000.0
Sumter Beauty College,SC,0.0,19.0,3,3,,,20700.0,19600.0,14200.0,,,,,,,
Trident Technical College,SC,0.0,9670.0,2,1,4551.0,8484.0,34900.0,31300.0,25700.0,31800.0,41800.0,27500.0,24500.0,19500.0,25100.0,31500.0
Oglala Lakota College,SD,0.0,1189.0,1,1,2684.0,2684.0,22400.0,19300.0,18300.0,22300.0,22500.0,18300.0,15500.0,15300.0,18200.0,18400.0
John A Gupton College,TN,0.0,168.0,2,2,11158.0,11158.0,,,,,,29900.0,28000.0,19200.0,,
Paul Mitchell the School-Murfreesboro,TN,0.0,238.0,3,3,,,23700.0,20600.0,17200.0,,,20800.0,18100.0,14400.0,,
Winthrop University,SC,0.0,4545.0,1,1,15730.0,29986.0,40600.0,38600.0,25500.0,39000.0,44300.0,28600.0,28100.0,15600.0,28100.0,29500.0
South Dakota School of Mines and Technology,SD,0.0,2177.0,1,1,10560.0,14820.0,60500.0,56300.0,34400.0,46800.0,67300.0,51400.0,51200.0,29500.0,42100.0,53900.0
Tennessee College of Applied Technology-Covington,TN,0.0,224.0,2,1,,,,,,,,26800.0,25100.0,17000.0,,
York Technical College,SC,0.0,3693.0,2,1,4817.0,9977.0,28300.0,27100.0,18300.0,26700.0,33500.0,23800.0,21600.0,15700.0,22500.0,26800.0
Le Moyne-Owen College,TN,0.0,884.0,1,2,11196.0,11196.0,33400.0,29500.0,24000.0,30500.0,37200.0,24200.0,20500.0,17600.0,24000.0,24400.0
Black Hills Beauty College,SD,0.0,67.0,2,3,,,22500.0,19400.0,15700.0,,,17900.0,17800.0,10900.0,,
Dyersburg State Community College,TN,0.0,2020.0,2,1,4235.0,16523.0,30900.0,28200.0,21300.0,29100.0,35900.0,25200.0,22900.0,18600.0,23400.0,29700.0
Southern Adventist University,TN,0.0,2418.0,1,2,21950.0,21950.0,43800.0,39300.0,31300.0,38200.0,50000.0,35400.0,33200.0,23600.0,34400.0,36500.0
Tennessee Wesleyan University,TN,0.0,943.0,1,2,24300.0,24300.0,39500.0,36700.0,24000.0,37100.0,43900.0,31200.0,28900.0,18400.0,31000.0,31600.0
Tennessee College of Applied Technology-Paris,TN,0.0,261.0,2,1,,,24800.0,22800.0,18600.0,,,20100.0,17700.0,15200.0,19700.0,21300.0
Austin Presbyterian Theological Seminary,TX,0.0,,1,2,,,,,,,,,,,,
Alvin Community College,TX,0.0,3569.0,2,1,1680.0,3936.0,38300.0,36700.0,27800.0,34300.0,49700.0,34100.0,29000.0,25200.0,29900.0,42500.0
Roane State Community College,TN,0.0,4356.0,2,1,4443.0,17349.0,30500.0,28200.0,22600.0,28800.0,35500.0,26100.0,24000.0,17400.0,24500.0,29600.0
Tennessee Technological University,TN,0.0,8805.0,1,1,8731.0,24595.0,44200.0,39500.0,28400.0,36800.0,50900.0,33100.0,30700.0,21000.0,29400.0,36400.0
Galveston College,TX,0.0,1930.0,2,1,2050.0,4600.0,36300.0,31500.0,27400.0,34000.0,41600.0,30400.0,25000.0,22200.0,29600.0,32000.0
Dallas Christian College,TX,0.0,212.0,1,2,18734.0,18734.0,41500.0,34500.0,30300.0,36300.0,46100.0,33400.0,31400.0,23900.0,26900.0,38200.0
KD Conservatory College of Film and Dramatic Arts,TX,0.0,111.0,2,3,16993.0,16993.0,28800.0,25200.0,23300.0,29100.0,28300.0,22100.0,19400.0,16700.0,21500.0,22700.0
Whitman College,WA,0.0,1446.0,1,2,52764.0,52764.0,54500.0,47400.0,40400.0,48700.0,63000.0,32300.0,29500.0,21500.0,30600.0,34400.0
Monongalia County Technical Education Center,WV,0.0,95.0,3,1,,,,,,,,28400.0,25300.0,15200.0,,
Lawrence University,WI,0.0,1431.0,1,2,47475.0,47475.0,50000.0,42100.0,46300.0,43000.0,58500.0,30500.0,28700.0,22800.0,27800.0,33300.0
West Virginia Northern Community College,WV,0.0,1046.0,2,1,4107.0,11403.0,30500.0,26400.0,21700.0,28300.0,36600.0,23600.0,19700.0,19100.0,20500.0,30100.0
Maranatha Baptist University,WI,0.0,623.0,1,2,15410.0,15410.0,32700.0,30400.0,25900.0,24600.0,41100.0,27700.0,24500.0,18500.0,24800.0,30900.0
Appalachian Beauty School,KY,0.0,22.0,3,3,,,,,,,,,,,,
Bethany College,WV,0.0,555.0,1,2,29773.0,29773.0,47100.0,41600.0,29500.0,40500.0,51200.0,28000.0,25700.0,17500.0,26600.0,29000.0
Clarksburg Beauty Academy and School of Massage Therapy,WV,0.0,48.0,2,3,,,14400.0,11600.0,11700.0,,,13100.0,11000.0,12000.0,,
Fred W Eberle Technical Center,WV,0.0,224.0,2,1,,,,,,,,30200.0,27400.0,21100.0,,
Blackhawk Technical College,WI,0.0,2222.0,2,1,4364.0,6647.0,35000.0,33200.0,22300.0,31600.0,41600.0,28100.0,25100.0,19400.0,25500.0,32200.0
Fairmont State University,WV,0.0,3540.0,1,1,7514.0,16324.0,36500.0,33800.0,25900.0,30300.0,43800.0,30300.0,25500.0,23100.0,25000.0,36600.0
Huntington Junior College,WV,0.0,313.0,2,3,8550.0,8550.0,21300.0,19200.0,16000.0,19300.0,30100.0,16500.0,13500.0,14900.0,16000.0,18100.0
Ralph R Willis Career and Technical Center,WV,0.0,40.0,3,1,,,,,,,,,,,,
Edgewood College,WI,0.0,1435.0,1,2,29500.0,29500.0,45600.0,41800.0,31400.0,42100.0,56500.0,38200.0,34700.0,22000.0,36800.0,42300.0
CEM College-San Juan,PR,0.0,408.0,1,3,7425.0,7425.0,19900.0,18000.0,16100.0,18100.0,24900.0,16700.0,14900.0,13800.0,15900.0,18800.0
University of Wyoming,WY,0.0,9854.0,1,1,5400.0,17490.0,52800.0,47900.0,40800.0,43200.0,63100.0,40300.0,36300.0,28200.0,36500.0,44300.0
State College of Beauty Culture Inc,WI,0.0,48.0,3,3,,,,,,,,16500.0,15200.0,10300.0,,
Universidad Adventista de las Antillas,PR,0.0,1125.0,1,2,7070.0,7070.0,26500.0,23200.0,21100.0,23400.0,31000.0,21400.0,17200.0,17300.0,19100.0,24600.0
Humacao Community College,PR,0.0,467.0,1,2,5002.0,5002.0,19400.0,17300.0,13600.0,17700.0,23300.0,15200.0,14100.0,13000.0,12100.0,18700.0
Viterbo University,WI,0.0,1709.0,1,2,27970.0,27970.0,47400.0,43500.0,31400.0,45800.0,51200.0,38300.0,35000.0,21700.0,38100.0,38900.0
Columbia Central University-Caguas,PR,0.0,1050.0,1,3,6600.0,6600.0,25200.0,23100.0,17300.0,24400.0,26500.0,20200.0,17600.0,16400.0,18600.0,23800.0
Carlos Albizu University-San Juan,PR,0.0,380.0,1,2,7284.0,7284.0,32200.0,26000.0,26200.0,,,30300.0,26500.0,21000.0,26800.0,41300.0
Caribbean University-Bayamon,PR,0.0,936.0,1,2,5424.0,5424.0,22400.0,19300.0,19500.0,18700.0,26200.0,17900.0,15100.0,17100.0,14500.0,21800.0
Inter American University of Puerto Rico-San German,PR,0.0,3747.0,1,2,5940.0,5940.0,26100.0,22800.0,21000.0,23800.0,29200.0,17800.0,15500.0,14500.0,16300.0,19400.0
University of Wisconsin-Parkside,WI,0.0,3978.0,1,1,7389.0,15378.0,44000.0,41600.0,25700.0,39500.0,49700.0,30300.0,28000.0,22700.0,28400.0,32700.0
University of Wisconsin-Stout,WI,0.0,7445.0,1,1,9457.0,17424.0,46900.0,43700.0,28100.0,39500.0,54200.0,36700.0,34800.0,18700.0,32200.0,41500.0
University of Wisconsin-Madison,WI,0.0,30360.0,1,1,10555.0,36805.0,61800.0,52900.0,53900.0,55400.0,69500.0,45900.0,40900.0,40100.0,42300.0,50100.0
University of Wisconsin-River Falls,WI,0.0,5570.0,1,1,8025.0,15598.0,44300.0,42000.0,26800.0,38800.0,51700.0,33400.0,31900.0,16500.0,31100.0,36600.0
Central Wyoming College,WY,0.0,968.0,2,1,3120.0,7632.0,32900.0,29900.0,24900.0,27600.0,42100.0,26800.0,22000.0,22700.0,24000.0,31800.0
Northwest College,WY,0.0,1032.0,2,1,3447.0,7959.0,37100.0,31700.0,27700.0,27600.0,49200.0,30200.0,24600.0,24000.0,26400.0,35300.0
Inter American University of Puerto Rico-Barranquitas,PR,0.0,1513.0,1,2,5902.0,5902.0,26100.0,22800.0,21000.0,23800.0,29200.0,17800.0,15500.0,14500.0,16300.0,19400.0
University of Puerto Rico-Mayaguez,PR,0.0,12060.0,1,1,4094.0,6049.0,34500.0,29400.0,25800.0,32100.0,39800.0,,,,,
University of Puerto Rico-Rio Piedras,PR,0.0,11503.0,1,1,4094.0,6049.0,34500.0,29400.0,25800.0,32100.0,39800.0,,,,,
Antioch University-Santa Barbara,CA,0.0,87.0,1,2,,,44400.0,39700.0,38100.0,41100.0,54000.0,33800.0,30900.0,23300.0,32400.0,37800.0
Dorsey School of Business-Roseville,MI,0.0,440.0,3,3,20772.0,20772.0,28300.0,26200.0,20400.0,28100.0,31700.0,19800.0,18400.0,13000.0,19600.0,21500.0
Carrington College-San Leandro,CA,0.0,251.0,2,3,,,33300.0,32800.0,21700.0,32800.0,41600.0,27600.0,24100.0,22000.0,27100.0,31100.0
Pima Medical Institute-Mesa,AZ,0.0,708.0,2,3,,,32200.0,29600.0,23400.0,29800.0,45200.0,27000.0,25000.0,18700.0,25100.0,36700.0
The Salon Professional Academy-Nampa,ID,0.0,69.0,2,3,,,,,,,,,,,,
Capri Institute of Hair Design-Clifton,NJ,0.0,155.0,3,3,,,28800.0,23800.0,20200.0,,,20500.0,18900.0,15500.0,,
Purdue University Global-Davenport,IA,0.0,23042.0,1,1,14343.0,14343.0,33300.0,30300.0,22300.0,29400.0,44300.0,31000.0,25800.0,27300.0,27400.0,40600.0
St Charles Community College,MO,0.0,5745.0,2,1,2664.0,5376.0,34900.0,32400.0,23700.0,32500.0,41000.0,28500.0,25300.0,20500.0,27500.0,30600.0
Conservatory of Recording Arts and Sciences,AZ,0.0,568.0,3,3,,,39200.0,34100.0,30500.0,,,29100.0,25700.0,23000.0,,
Pioneer Technology Center,OK,0.0,147.0,3,1,,,24500.0,22000.0,18900.0,,,,,,,
University of the District of Columbia-David A Clarke School of Law,DC,0.0,,1,1,,,45800.0,42100.0,35600.0,44400.0,49600.0,28600.0,24600.0,21800.0,27500.0,30600.0
Eastern College of Health Vocations-New Orleans,LA,0.0,58.0,3,3,,,21800.0,19600.0,14900.0,,,17700.0,16800.0,12100.0,,
West Virginia Junior College-United Career Institute,PA,0.0,88.0,2,3,12292.0,12292.0,21800.0,21100.0,14800.0,,,18000.0,17200.0,13200.0,16300.0,22800.0
Caribbean University-Ponce,PR,0.0,529.0,1,2,5424.0,5424.0,22400.0,19300.0,19500.0,18700.0,26200.0,17900.0,15100.0,17100.0,14500.0,21800.0
University of Advancing Technology,AZ,0.0,730.0,1,3,16598.0,16598.0,54400.0,48500.0,35900.0,44900.0,56100.0,41300.0,34300.0,30200.0,,
Purdue University Global-Des Moines,IA,0.0,636.0,1,1,14343.0,14343.0,33300.0,30300.0,22300.0,29400.0,44300.0,31000.0,25800.0,27300.0,27400.0,40600.0
Las Positas College,CA,0.0,8048.0,2,1,1134.0,7734.0,39200.0,32300.0,32700.0,37000.0,43600.0,31700.0,26100.0,26600.0,30600.0,33400.0
International School of Skin Nailcare & Massage Therapy,GA,0.0,196.0,3,3,,,29200.0,24300.0,22100.0,,,24800.0,20400.0,18500.0,,
Ross Medical Education Center-Roosevelt Park,MI,0.0,155.0,3,3,,,22100.0,19900.0,15800.0,,,19400.0,19300.0,11800.0,,
Vista College,TX,0.0,606.0,2,3,15680.0,15680.0,24800.0,21800.0,17900.0,22500.0,35900.0,20800.0,17900.0,16200.0,20100.0,23300.0
National Tractor Trailer School Inc-Liverpool,NY,0.0,102.0,3,3,,,37400.0,37200.0,21700.0,,,34000.0,33100.0,20100.0,,
Mercy-St Luke's School of Radiologic Technology,IA,0.0,22.0,2,2,,,,,,,,,,,,
Universal Technical Institute of Illinois Inc,IL,0.0,954.0,2,3,,,48700.0,46700.0,28300.0,38200.0,48900.0,35500.0,33700.0,21000.0,26100.0,35700.0
Commonwealth Institute of Funeral Service,TX,0.0,205.0,2,2,13363.0,13363.0,37100.0,36300.0,20500.0,,,31200.0,28200.0,21600.0,,
California State University-San Marcos,CA,0.0,14871.0,1,1,7713.0,19593.0,51600.0,50800.0,35400.0,46200.0,62000.0,36900.0,34100.0,24200.0,35300.0,39900.0
Butler Beauty Academy-New Castle Beauty Academy,PA,0.0,21.0,3,3,,,15100.0,13700.0,10700.0,,,14000.0,12700.0,9300.0,,
Southwest Technology Center,OK,0.0,275.0,2,1,,,,,,,,30000.0,25800.0,23900.0,,
Western Area Career & Technology Center,PA,0.0,104.0,3,1,,,,,,,,32200.0,36100.0,18400.0,,
National Career Education,CA,0.0,398.0,2,3,,,39700.0,35200.0,32000.0,33500.0,46600.0,27700.0,24700.0,20500.0,24400.0,32600.0
Hodges University,FL,0.0,853.0,1,2,14180.0,14180.0,38900.0,34000.0,29700.0,33000.0,51600.0,32000.0,27200.0,25200.0,30300.0,36600.0
