,School,sat_scores.25th_percentile.critical_reading,sat_scores.midpoint.critical_reading,sat_scores.75th_percentile.critical_reading,sat_scores.25th_percentile.math,sat_scores.midpoint.math,sat_scores.75th_percentile.math
2937,Designer Barber & Stylist School,,,,,,
2938,Baker College of Jackson,,,,,,
2939,Relay Graduate School of Education - New Orleans,,,,,,
2940,Institute of Beauty Occupations and Technology Course-San Sebastian,,,,,,
2941,Virginia Beach Theological Seminary,,,,,,
2942,Ross Medical Education Center-Huntsville,,,,,,
2943,Sunstate Academy-Jones Technical Institute,,,,,,
2944,Ross Medical Education Center-Lafayette,,,,,,
2945,Felbry College School of Nursing,,,,,,
2946,Sonoran Desert Institute,,,,,,
2947,Infinity College,,,,,,
2948,Miami Media School,,,,,,
2949,Medical Career & Technical College,,,,,,
2950,Austin's Beauty College Inc,,,,,,
2951,Toyota Technological Institute at Chicago,,,,,,
2952,Trend Barber College,,,,,,
2953,United Education Institute - UEI College - Phoenix,,,,,,
2954,UEI College-Bakersfield,,,,,,
2955,United Education Institute-UEI College Stockton,,,,,,
2956,Bethany Global University,,,,,,
2957,South Dade Technical College-South Dade Skills Center Campus,,,,,,
2958,United Education Institute-Chula Vista,,,,,,
2959,Florida Career College-Tampa,,,,,,
2960,Keiser University -  Clearwater,,,,,,
2961,Delaware Technical Community College-Stanton/Wilmington,,,,,,
2962,Baker College of Auburn Hills,,,,,,
2963,East Georgia State College - Statesboro,,,,,,
2964,Baker College of Port Huron,,,,,,
2965,Baker College Center for Graduate Studies,,,,,,
2966,Kettering College - Ollie Davis Medical Arts and Education Center,,,,,,
2967,Monmouth University -  Monmouth Park Corporate Center,,,,,,
2968,Purdue University - Purdue Polytechnic Indianapolis,,,,,,
2969,Hebrew Union College-Jewish Institute of Religion-Cincinnati,,,,,,
2970,Purdue University - Purdue Polytechnic Richmond,,,,,,
2971,Osceola Technical College - Poinciana Campus,,,,,,
2972,Industrial Technical College - Naguabo,,,,,,
2973,Somerset County Technology Center - Bedford Site,,,,,,
2974,Salon Boutique Academy,,,,,,
2975,Yeshiva Gedola Ohr Yisrael,,,,,,
2976,Dolce LLC The Academy,,,,,,
2977,Westchester College of Nursing & Allied Health,,,,,,
2978,River Valley School of Massage,,,,,,
2979,Franklin Hair Academy School of Cosmetology,,,,,,
2980,University of Texas Health Science Center at Tyler,,,,,,
2981,Chamberlain University-Michigan,,,,,,
2982,Eastern Suffolk BOCES,,,,,,
2983,Jolie Health & Beauty Academy-Cherry Hill,,,,,,
2984,Paul Mitchell the School-Tulsa,,,,,,
2985,California Barber and Beauty College,,,,,,
2986,Triton College - Intl Union of Operating Engr Local 399 Trning Fac.,,,,,,
2987,San Joaquin Valley College - Delano,,,,,,
2988,Columbia College - Orlando,,,,,,
2989,Columbia College - Elgin,,,,,,
2990,Columbia College - Fort Drum,,,,,,
2991,Winebrenner Theological Seminary -,,,,,,
2992,University of Oklahoma - Douglass Learning Center,,,,,,
2993,Columbia College - San Diego,,,,,,
2994,Relay Graduate School of Education - Houston,,,,,,
2995,American Beauty Schools,,,,,,
2996,Apex Academy Hair Skin Nails School of Cosmetology,,,,,,
2997,My Beauty & Barber College,,,,,,
2998,MAK Beauty Institute,,,,,,
2999,Kansas City University of Medicine and Biosciences-Joplin,,,,,,
3000,Galen College of Nursing-ARH,,,,,,
3001,L Makeup Institute,,,,,,
3002,Platt College-Edge Tech Academy,,,,,,
3003,Ray J's College of Hair,,,,,,
3004,Yeshiva Kollel Tifereth Elizer,,,,,,
3005,U.S. Truck Driver Training School,,,,,,
3006,Arkansas Colleges of Health Education,,,,,,
3007,Hogan Institute of Cosmetology and Esthetics,,,,,,
3008,EduMed Partners,,,,,,
3009,Manuel and Theresa's School of Hair Design,,,,,,
3010,Regan Career Institute,,,,,,
3011,C. Alexander School of Cosmetology,,,,,,
3012,Master's Barber & Styling College,,,,,,
3013,Berkowits School of Electrolysis,,,,,,
3014,ABC Adult School,,,,,,
3015,Innovate Salon Academy,,,,,,
3016,Santa Barbara Business College - Ventura,,,,,,
3017,ABC Adult School - Cabrillo Lane,,,,,,
3018,Georgia Military College - Dublin,,,,,,
3019,Georgia Military College - Sandersville,,,,,,
3020,Relay Graduate School of Education - California,,,,,,
3021,WellSpring School of Allied Health-Springfield,,,,,,
3022,Wade Gordon Hairdressing Academy,,,,,,
3023,Three Rivers Community College - York Correctional Institution,,,,,,
3024,UR Beauty & Barber Academy,,,,,,
3025,California College of Barbering and Cosmetology,,,,,,
3026,Career Quest Learning Center-Bay City Branch,,,,,,
3027,No Grease Barber School,,,,,,
3028,Ponce Health Sciences University-Centro Universitario de San Juan,,,,,,
3029,Chicago School of Professional Psychology at Dallas,,,,,,
3030,South University-Savannah,,,,,,
3031,Arizona State University - Pinal,,,,,,
3032,Georgia Military College - Albany,,,,,,
3033,Georgia Military College - Fairburn,,,,,,
3034,Southeastern Louisiana University - Destrahan High School,,,,,,
3035,Saint John's University - Staten Island Campus,,,,,,
3036,NYSMedical&Dental Assistants - American Institute of Clinical Massage,,,,,,
3037,Winston - Salem Barber School - Satellite,,,,,,
3038,Denver Seminary - West Texas,,,,,,
3039,Otero Junior College - East School,,,,,,
3040,Bard College - Woodbourne Correctional Facility,,,,,,
3041,Bard College - Fishkill Correctional Facility,,,,,,
3042,Drury University-College of Continuing Professional Studies,,,,,,
3043,Advantage Technical College,,,,,,
3044,ECPI University - San Antonio,,,,,,
3045,Indian Capital Technology Center-Tahlequah,,,,,,
3046,Everglades University - Miami,,,,,,
3047,Burrell College of Osteopathic Medicine,,,,,,
3048,Glitz School of Cosmetology,,,,,,
3049,Oikos University,,,,,,
3050,Transitions Career Institute School of Nursing,,,,,,
3051,California Institute of Medical Science,,,,,,
3052,Pets Playground Grooming School,,,,,,
3053,Women's Institute of Torah Seminary,,,,,,
3054,Seminary Bnos Chaim,,,,,,
3055,Tricoci University of Beauty Culture-Janesville,,,,,,
3056,Red Lake Nation College,,,,,,
3057,Vogue International Academy,,,,,,
3058,Caris College,,,,,,
3059,Northern Technical College,,,,,,
3060,Lehigh Valley Barber School,,,,,,
3061,Yeshiva Gedola Tiferes Yerachmiel,,,,,,
3062,The Culinary School of Fort Worth,,,,,,
3063,Rexburg College of Massage Therapy,,,,,,
3064,Toni & Guy Hairdressing Academy-Idaho,,,,,,
3065,Bard College - Holyoke Microcollege,,,,,,
3066,Maynard A. Traviss Technical College - Central Florida Aerospace Academy,,,,,,
3067,Davenport University - Macomb CC,,,,,,
3068,National University College-Rio Grande,,,,,,
3069,National University College - Mayaguez Campus,,,,,,
3070,Relay Graduate School of Education - Dallas-Fort Worth,,,,,,
3071,Academy Di Capelli -,,,,,,
3072,Arizona State University - ASU Colleges at Lake Havasu City,,,,,,
3073,HCI College - Fort Lauderdale Campus,,,,,,
3074,Empire Beauty School-Cheltenham,,,,,,
3075,Associated Barber College of San Diego,,,,,,
3076,Celebrity Barber School,,,,,,
3077,New Beginnings Beauty Academy,,,,,,
3078,The Beauty School,,,,,,
3079,Princess Beauty School,,,,,,
3080,Arclabs,,,,,,
3081,The Training Domain,,,,,,
3082,Kentucky Horseshoeing School,,,,,,
3083,PiBerry Institute,,,,,,
3084,Universal Technical Institute-Southern California,,,,,,
3085,Empire Beauty School-Northlake,,,,,,
3086,Spartan College of Aeronautics and Technology,,,,,,
3087,American Beauty Academy-West Valley Campus,,,,,,
3088,Fosbre Academy of Hair Design,,,,,,
3089,Top of the Line Barber College,,,,,,
3090,Wongu University of Oriental Medicine,,,,,,
3091,Hoss Lee Academy,,,,,,
3092,Ea La Mar's Cosmetology & Barber College,,,,,,
3093,Chamberlain University-North Carolina,,,,,,
3094,House of Heavilin Beauty College-Academy of Beauty Professionals,,,,,,
3095,Columbia College - Coast Guard Island,,,,,,
3096,Columbia College - Fort Leonard Wood,,,,,,
3097,Columbia College - Fort Worth,,,,,,
3098,Columbia College - Naval Station Everett/Marysville,,,,,,
3099,Columbia College - Rolla,,,,,,
3100,Columbia College - San Luis Obispo,,,,,,
3101,ECPI University - Roanoke,,,,,,
3102,Academy of Hair Design - Austin,,,,,,
3103,Vista College - Ft. Smith,,,,,,
3104,Celebrity School of Beauty - Hialeah,,,,,,
3105,Relay Graduate School of Education - Philadelphia & Camden,,,,,,
3106,America Evangelical University,,,,,,
3107,Ross College-Grand Rapids North,,,,,,
3108,HCI College,,,,,,
3109,University of Wisconsin-Parkside Flex,,,,,,
3110,Unitech Training Academy-Baton Rouge,,,,,,
3111,Elite Cosmetology Barber & Spa Academy,,,,,,
3112,Yeshiva Ohr Naftoli,,,,,,
3113,Allied Health Careers Institute,,,,,,
3114,Ross Medical Education Center - Kalamazoo,,,,,,
3115,Los Angeles Academy of Figurative Art,,,,,,
3116,Purdue University Global-St. Louis,,,,,,
3117,Wave Leadership College,,,,,,
3118,Central Yeshiva Beth Joseph,,,,,,
3119,Westchester School for Dental Assistant,,,,,,
3120,Claremont Lincoln University,,,,,,
3121,Saint Michael College of Allied Health,,,,,,
3122,Center for Ultrasound Research & Education,,,,,,
3123,Beth Medrash of Asbury Park,,,,,,
3124,Yeshivas Maharit D'Satmar,,,,,,
3125,Florida Career College-Margate,,,,,,
3126,Abraham Lincoln University,,,,,,
3127,Martinsburg College,,,,,,
3128,Florida Career College,,,,,,
3129,Unitech Training Academy-New Orleans,,,,,,
3130,Valor Christian College,,,,,,
3131,Unilatina International College,,,,,,
3132,Institute of Health & Technology- Jackson,,,,,,
3133,Kansas Christian College,,,,,,
3134,Husson University,460.0,520.0,580.0,470.0,515.0,560.0
3135,Alamo City Barber College,,,,,,
3136,Lawrence & Company College of Cosmetology,,,,,,
3137,River Valley Cosmetology Institute,,,,,,
3138,Jolie Health and Beauty Academy-Turnersville,,,,,,
3139,Paul Mitchell the School-Greenville,,,,,,
3140,Paul Mitchell the School-Schenectady,,,,,,
3141,North-West College-Anaheim,,,,,,
3142,Delta College-Slidell Campus,,,,,,
3143,Taylor Andrews Academy of Hair Design-Provo,,,,,,
3144,Jupiter Beauty Academy,,,,,,
3145,Standard Healthcare Services-College of Nursing,,,,,,
3146,Grace International Beauty School,,,,,,
3147,Ogle School Hair Skin Nails-Stafford,,,,,,
3148,Debutantes School of Cosmetology and Nail Technology,,,,,,
3149,Dorsey School of Business-Dearborn,,,,,,
3150,Mind Body Institute,,,,,,
3151,University of Phoenix-California,,,,,,
3152,Ricci's Academy of Cosmetology,,,,,,
3153,Creative Touch Cosmetology School,,,,,,
3154,Preparing People Barber Styling College,,,,,,
3155,University of Phoenix-Georgia,,,,,,
3156,Ohio Institute of Allied Health,,,,,,
3157,University of Phoenix-Tennessee,,,,,,
3158,L'esprit Academy - Royal Oak,,,,,,
3159,National Career Institute - Jersey City Branch,,,,,,
3160,Clovis Community College,,,,,,
3161,Milligan College,540.0,595.0,650.0,530.0,595.0,660.0
3162,Tulsa Technology Center,,,,,,
3163,John Amico School of Hair Design,,,,,,
3164,Vibe Barber College,,,,,,
3165,Rabbinical College Ohr Yisroel,,,,,,
3166,Empire Beauty School-Buffalo,,,,,,
3167,Georgia Military College,,,,,,
3168,San Joaquin Valley College - Fresno Trades Education Center,,,,,,
3169,San Joaquin Valley College - Rancho Cordova,,,,,,
3170,San Joaquin Valley College - Lancaster,,,,,,
3171,Jamestown Business College -,,,,,,
3172,Saint Elizabeth College of Nursing,,,,,,
3173,Mount Carmel College of Nursing - Fairfield,,,,,,
3174,Piedmont International University,440.0,490.0,540.0,450.0,485.0,520.0
3175,Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,,,,,,
3176,Rasmussen College-Kansas,,,,,,
3177,School of Missionary Aviation Technology,,,,,,
3178,California Miramar University,,,,,,
3179,The College of Health Care Professions-Dallas,,,,,,
3180,College of the Muscogee Nation,,,,,,
3181,California College San Diego,,,,,,
3182,City Pointe Beauty Academy,,,,,,
3183,Berks Career & Technology Center,,,,,,
3184,National Personal Training Institute of Columbus,,,,,,
3185,Belle Academy of Cosmetology LLC,,,,,,
3186,Sharp Edgez Barber Institute,,,,,,
3187,Sotheby's Institute of Art-NY,,,,,,
3188,Midwest Technical Institute-Springfield,,,,,,
3189,Shepherds College,,,,,,
3190,Grace School of Theology,,,,,,
3191,Trenz Beauty Academy,,,,,,
3192,Rizzieri Institute,,,,,,
3193,Arrojo Cosmetology School,,,,,,
3194,Riverside County Office of Education-School of Career Education,,,,,,
3195,Institute of Health Sciences,,,,,,
3196,J D Academy of Salon and Spa,,,,,,
3197,National American University-Richardson,,,,,,
3198,DeVry University-Tennessee,,,,,,
3199,Career Academy of Hair Design-Fayetteville,,,,,,
3200,DeVry University-California,,,,,,
3201,DeVry University-Illinois,,,,,,
3202,Barber School of Pittsburgh,,,,,,
3203,Arizona State University-Skysong,,,,,,
3204,DeVry University-Nevada,,,,,,
3205,DeVry University-Ohio,,,,,,
3206,Rasmussen College-Land O' Lakes,,,,,,
3207,ECPI University-Greensboro,,,,,,
3208,ECPI University-Manassas,,,,,,
3209,ECPI University-Columbia,,,,,,
3210,Pike County Joint Vocational School District,,,,,,
3211,University of South Florida-Sarasota-Manatee,583.0,612.0,640.0,553.0,601.0,648.0
3212,San Francisco Institute of Esthetics & Cosmetology Inc,,,,,,
3213,Career Development Institute Inc,,,,,,
3214,National Beauty College,,,,,,
3215,Cozmo Beauty School,,,,,,
3216,Celebrity School of Beauty,,,,,,
3217,Hands on Therapy,,,,,,
3218,Beauty Schools of America-Homestead,,,,,,
3219,Polytechnic University of Puerto Rico-Miami,,,,,,
3220,Porter and Chester Institute of Worcester,,,,,,
3221,Strayer University-Alabama,,,,,,
3222,Strayer University-Anne Arundel Campus,,,,,,
3223,Strayer University-Chesapeake Campus,,,,,,
3224,Strayer University-Newport News Campus,,,,,,
3225,Strayer University-Douglasville Campus,,,,,,
3226,Strayer University-North Charlotte,,,,,,
3227,Strayer University-Tampa East Campus,,,,,,
3228,Strayer University-Nashville Campus,,,,,,
3229,Strayer University-Augusta Campus,,,,,,
3230,Strayer University-Greensboro Campus,,,,,,
3231,Strayer University-Columbia Campus,,,,,,
3232,Strayer University-Willingboro Campus,,,,,,
3233,Strayer University-Irving,,,,,,
3234,Strayer University-Lower Bucks County Campus,,,,,,
3235,Strayer University-Plano,,,,,,
3236,Lu Ross Academy,,,,,,
3237,American Institute of Interior Design,,,,,,
3238,Strayer University-West Virginia,,,,,,
3239,Angeles Institute,,,,,,
3240,Southern Worcester County Regional Vocational School District,,,,,,
3241,Immokalee Technical College,,,,,,
3242,Elevate Salon Institute,,,,,,
3243,CenterPoint Massage & Shiatsu Therapy School & Clinic,,,,,,
3244,Carrington College-Las Vegas,,,,,,
3245,Aviation Institute of Maintenance-Orlando,,,,,,
3246,City Vision University,,,,,,
3247,Bitterroot School of Cosmetology,,,,,,
3248,Love Beauty School Inc,,,,,,
3249,Pacific Rim Christian University,,,,,,
3250,National Career Institute,,,,,,
3251,San Diego Culinary Institute,,,,,,
3252,Houston International College Cardiotech Ultrasound School,,,,,,
3253,Ambria College of Nursing,,,,,,
3254,Strayer University-South Carolina,,,,,,
3255,Fortis College-Indianapolis,,,,,,
3256,Renaissance Academie,,,,,,
3257,Gary Manuel Aveda Institute,,,,,,
3258,Empire Beauty School-E Greensboro,,,,,,
3259,Platt College-Miller-Motte Technical-Columbus,,,,,,
3260,Empire Beauty School-Jackson,,,,,,
3261,Paul Mitchell the School-Delaware,,,,,,
3262,Southern Careers Institute-Brownsville,,,,,,
3263,The Salon Professional Academy-Ft Myers,,,,,,
3264,Universal Spa Training Academy,,,,,,
3265,Strayer University-Global Region,,,,,,
3266,Kenneth Shuler School of Cosmetology-Florence,,,,,,
3267,Touro University Worldwide,,,,,,
3268,ICPR Junior College-Manati,,,,,,
3269,New England College of Business and Finance,,,,,,
3270,Harrisburg Area Community College-Lancaster,,,,,,
3271,Trinity Law School,,,,,,
3272,Paul Mitchell the School-Michigan,,,,,,
3273,Paul Mitchell the School-Rexburg,,,,,,
3274,Tricoci University of Beauty Culture-Chicago NW,,,,,,
3275,Frederick School of Cosmetology,,,,,,
3276,The Temple-A Paul Mitchell Partner School,,,,,,
3277,The Chicago School of Professional Psychology at Los Angeles,,,,,,
3278,Aveda Arts & Sciences Institute-San Antonio,,,,,,
3279,Cardiac and Vascular Institute of Ultrasound,,,,,,
3280,Healing Arts Center,,,,,,
3281,Skin Science Institute,,,,,,
3282,California Nurses Educational Institute,,,,,,
3283,South Texas Training Center,,,,,,
3284,Aveda Institute-Chapel Hill,,,,,,
3285,Paul Mitchell the School-Sacramento,,,,,,
3286,Advanced Welding Institute,,,,,,
3287,Total Image Beauty Academy,,,,,,
3288,Institute of World Politics,,,,,,
3289,Casal Institute of Nevada,,,,,,
3290,Medical Institute of Palm Beach,,,,,,
3291,Paul Mitchell the School-Columbus,,,,,,
3292,Yeshiva of Machzikai Hadas,,,,,,
3293,Paul Mitchell the School-Cincinnati,,,,,,
3294,Aveda Institute-Chicago,,,,,,
3295,Lamson Institute,,,,,,
3296,Josef's School of Hair Skin & Body-Fargo,,,,,,
3297,College of Hair Design-East Campus,,,,,,
3298,Platt College-STVT-Corpus Christi,,,,,,
3299,Salon Success Academy-Redlands,,,,,,
3300,College of Business and Technology-Cutler Bay,,,,,,
3301,Capri Beauty College,,,,,,
3302,Milan Institute-Bakersfield,,,,,,
3303,Fortis College-Salt Lake City,,,,,,
3304,Remington College-Columbia Campus,,,,,,
3305,Vista College Lubbock,,,,,,
3306,Harrisburg Area Community College-York,,,,,,
3307,Make-up Designory,,,,,,
3308,Dayton School of Medical Massage-Lima,,,,,,
3309,Tri-State Bible College,,,,,,
3310,Dragon Rises College of Oriental Medicine,,,,,,
3311,Visible Music College,520.0,580.0,640.0,520.0,575.0,630.0
3312,Taylor College,,,,,,
3313,Southeast Texas Career Institute,,,,,,
3314,Beaumont Adult School,,,,,,
3315,Milwaukee Career College,,,,,,
3316,Ideal Beauty Academy,,,,,,
3317,Averett University-Non-Traditional Programs,,,,,,
3318,Center for Natural Wellness School of Massage Therapy,,,,,,
3319,Brite Divinity School,,,,,,
3320,Empire Beauty School-Concord,,,,,,
3321,Clary Sage College,,,,,,
3322,Fortis College-Cincinnati,,,,,,
3323,Rasmussen College-Wisconsin,,,,,,
3324,Alliant International University-San Francisco,,,,,,
3325,Davenport University-Flint Location,,,,,,
3326,Arizona Culinary Institute,,,,,,
3327,Academy of Massage and Bodywork,,,,,,
3328,Academy of Career Training,,,,,,
3329,Paul Mitchell the School-Miami,,,,,,
3330,Shear Excellence Hair Academy,,,,,,
3331,Paul Mitchell the School-San Antonio,,,,,,
3332,Carlson College of Massage Therapy,,,,,,
3333,CEM College-Bayamon,,,,,,
3334,MyComputerCareer.edu-Columbus,,,,,,
3335,Instituto Educativo Premier,,,,,,
3336,Ross College-Sylvania,,,,,,
3337,Lakewood School of Therapeutic Massage,,,,,,
3338,The Salon Professional Academy-Battle Creek,,,,,,
3339,Manuel and Theresa's School of Hair Design-Bryan,,,,,,
3340,The King's College,590.0,630.0,670.0,530.0,585.0,640.0
3341,Copiah-Lincoln Community College-Natchez Campus,,,,,,
3342,Northampton County Area Community College-Monroe,,,,,,
3343,Massage Therapy Institute of Colorado,,,,,,
3344,School of Professional Horticulture New York Botanical Garden,,,,,,
3345,Academy of Natural Therapy Inc,,,,,,
3346,Gnomon,,,,,,
3347,Milan Institute of Cosmetology-San Antonio Military,,,,,,
3348,Blue Cliff College-Houma,,,,,,
3349,Empire Beauty School-Hooksett,,,,,,
3350,American Institute-Clifton,,,,,,
3351,Won Institute of Graduate Studies,,,,,,
3352,Aviator College of Aeronautical Science and Technology,,,,,,
3353,CDA Technical Institute,,,,,,
3354,Augusta School of Massage,,,,,,
3355,Tucson College of Beauty,,,,,,
3356,Hair Expressions Academy,,,,,,
3357,Asher College,,,,,,
3358,Eastern International College-Belleville,,,,,,
3359,CollegeAmerica-Fort Collins,,,,,,
3360,West Hills College-Lemoore,,,,,,
3361,Brittany Beauty Academy,,,,,,
3362,Branford Hall Career Institute-Albany Campus,,,,,,
3363,Palace Beauty College,,,,,,
3364,Doane University-Graduate and Professional Studies,,,,,,
3365,Institute of Health & Technology,,,,,,
3366,University of East-West Medicine,,,,,,
3367,Institute of Professional Careers,,,,,,
3368,Aveda Institute-New York,,,,,,
3369,Pima Medical Institute-Renton,,,,,,
3370,Broken Arrow Beauty College,,,,,,
3371,Platt College-Miller-Motte-Cary,,,,,,
3372,Educational Technical College-Recinto de Coamo,,,,,,
3373,Avi Career Training,,,,,,
3374,Cortiva Institute-King of Prussia,,,,,,
3375,South Louisiana Community College,,,,,,
3376,American InterContinental University,,,,,,
3377,Lincoln Technical Institute-Shelton,,,,,,
3378,Soma Institute-The National School of Clinical Massage Therapy,,,,,,
3379,Fortis Institute-Port Saint Lucie,,,,,,
3380,CALC Institute of Technology,,,,,,
3381,Kenneth Shuler School of Cosmetology-Spartanburg,,,,,,
3382,ATA Career Education,,,,,,
3383,Daytona College,,,,,,
3384,Blue Ridge Community and Technical College,,,,,,
3385,Eastern School of Acupuncture and Traditional Medicine,,,,,,
3386,Estelle Medical Academy,,,,,,
3387,eClips School of Cosmetology and Barbering,,,,,,
3388,Stanbridge University,,,,,,
3389,Uta Mesivta of Kiryas Joel,,,,,,
3390,Maple Springs Baptist Bible College and Seminary,,,,,,
3391,Stevens-Henager College,,,,,,
3392,Troy University-Dothan Campus,,,,,,
3393,Eagle Gate College-Layton,,,,,,
3394,Unitech Training Academy-West Monroe,,,,,,
3395,The College of Health Care Professions-Southwest Houston,,,,,,
3396,Keiser University-Sarasota,,,,,,
3397,Everglades University-Orlando,,,,,,
3398,Keiser University-Port St Lucie,,,,,,
3399,Florida National University-South Campus,,,,,,
3400,Soka University of America,570.0,620.0,670.0,610.0,675.0,740.0
3401,Advance Beauty College,,,,,,
3402,Empire Beauty School-Owings Mills,,,,,,
3403,PJ's College of Cosmetology- Indianapolis,,,,,,
3404,Spa Tech Institute-Westboro,,,,,,
3405,Keiser University-Melbourne,,,,,,
3406,Empire Beauty School-Bangor,,,,,,
3407,Davenport University-Warren Location,,,,,,
3408,Porter and Chester Institute of Enfield,,,,,,
3409,Strayer University-Takoma Park Campus,,,,,,
3410,Davenport University-Holland Location,,,,,,
3411,Bucks County Community College-Upper Bucks Campus,,,,,,
3412,Nuvani Institute-Del Rio,,,,,,
3413,South Hills School of Business and Technology-Altoona,,,,,,
3414,Culinary Institute of America at Greystone,,,,,,
3415,Pratt Manhattan-A Division of Pratt Institute,,,,,,
3416,Los Angeles Center,,,,,,
3417,M State - Moorhead Campus,,,,,,
3418,Western Seminary-San Jose,,,,,,
3419,Bayamon Community College,,,,,,
3420,Charlie's Guard-Detective Bureau and Academy Inc,,,,,,
3421,Cambridge Technical Institute,,,,,,
3422,Empire Beauty School-West Mifflin,,,,,,
3423,Advance Science International College,,,,,,
3424,Advanced Training Associates,,,,,,
3425,Health Works Institute,,,,,,
3426,The Beauty Institute,,,,,,
3427,Industrial Technical College,,,,,,
3428,Mountwest Community and Technical College,,,,,,
3429,Gwinnett College-Marietta Campus,,,,,,
3430,Nightingale College,,,,,,
3431,PITC Institute,,,,,,
3432,Skinworks School of Advanced Skincare,,,,,,
3433,Central Methodist University-College of Graduate and Extended Studies,,,,,,
3434,North-West College-Riverside,,,,,,
3435,Altierus Career College-Bissonnet,,,,,,
3436,Keiser University-Lakeland,,,,,,
3437,Golden Gate University-Los Angeles,,,,,,
3438,Golden Gate University-Silicon Valley,,,,,,
3439,The Beauty Institute,,,,,,
3440,New Hampshire Institute for Therapeutic Arts,,,,,,
3441,PCI College,,,,,,
3442,CBD College,,,,,,
3443,M-DCPS The English Center,,,,,,
3444,Texas County Technical College,,,,,,
3445,Richmont Graduate University,,,,,,
3446,The Seattle School of Theology & Psychology,,,,,,
3447,University of Phoenix-Illinois,,,,,,
3448,White Earth Tribal and Community College,,,,,,
3449,River Parishes Community College,,,,,,
3450,IYRS School of Technology & Trades,,,,,,
3451,Ultimate Medical Academy-Clearwater,,,,,,
3452,Dallas Barber & Stylist College,,,,,,
3453,Tohono O'odham Community College,,,,,,
3454,Irene's Myomassology Institute,,,,,,
3455,NASCAR Technical Institute,,,,,,
3456,NTMA Training Centers of Southern California,,,,,,
3457,Pima Medical Institute-Albuquerque West,,,,,,
3458,InterCoast Colleges-West Covina,,,,,,
3459,Pillar College,,,,,,
3460,Apex School of Theology,,,,,,
3461,California State University-Channel Islands,,,,,,
3462,Milan Institute-Palm Desert,,,,,,
3463,Hollywood Institute,,,,,,
3464,Pima Medical Institute-Colorado Springs,,,,,,
3465,Southeastern Institute-Charleston,,,,,,
3466,Creative Images Institute of Cosmetology-South Dayton,,,,,,
3467,West Coast University-Los Angeles,,,,,,
3468,Strayer University-Pennsylvania,,,,,,
3469,Triangle Tech Inc-Sunbury,,,,,,
3470,Paul Mitchell the School-Rhode Island,,,,,,
3471,Southern California Seminary,,,,,,
3472,EDIC College,,,,,,
3473,IVAEM College,,,,,,
3474,Quest College,,,,,,
3475,Seattle Institute of East Asian Medicine,,,,,,
3476,Remington College-Baton Rouge Campus,,,,,,
3477,East West College of Natural Medicine,,,,,,
3478,The King's University,450.0,505.0,560.0,440.0,485.0,530.0
3479,Upper Valley Educators Institute,,,,,,
3480,Marlboro College Graduate & Professional Studies,,,,,,
3481,My Le's Beauty College,,,,,,
3482,Empire Beauty School-Kennesaw,,,,,,
3483,New Concept Massage and Beauty School,,,,,,
3484,Blue Cliff College-Lafayette,,,,,,
3485,Northeastern Seminary,,,,,,
3486,Atenas College,,,,,,
3487,Cortiva Institute-Chicago,,,,,,
3488,Erikson Institute,,,,,,
3489,Embry-Riddle Aeronautical University-Worldwide,,,,,,
3490,The Academy of Hair Design Six,,,,,,
3491,Huntingdon County Career and Technology Center,,,,,,
3492,Omega Institute of Cosmetology,,,,,,
3493,Michigan Career and Technical Institute,,,,,,
3494,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,,,,,,
3495,Marian Health Careers Center-Los Angeles Campus,,,,,,
3496,Allen School-Jamaica,,,,,,
3497,Ilisagvik College,,,,,,
3498,Southwest Acupuncture College-Boulder,,,,,,
3499,University of Connecticut-Avery Point,520.0,565.0,610.0,500.0,550.0,600.0
3500,Rudae's School of Beauty Culture-Ft Wayne,,,,,,
3501,International Baptist College and Seminary,,,,,,
3502,Universal Technical Institute of California Inc,,,,,,
3503,Stevens-Henager College,,,,,,
3504,Modern Hairstyling Institute-Carolina,,,,,,
3505,Platt College-McCann-Lewisburg,,,,,,
3506,Southern Westchester BOCES-Practical Nursing Program,,,,,,
3507,University of St. Augustine for Health Sciences,,,,,,
3508,Mid-Plains Community College,,,,,,
3509,North Florida Technical College,,,,,,
3510,Pacific States University,,,,,,
3511,St Francis Medical Center-School of Radiologic Technology,,,,,,
3512,Traxlers School of Hair,,,,,,
3513,Delmarva Beauty Academy,,,,,,
3514,Citrus College,,,,,,
3515,MTI College,,,,,,
3516,MiraCosta College,,,,,,
3517,National University,,,,,,
3518,Naval Postgraduate School,,,,,,
3519,Newschool of Architecture and Design,,,,,,
3520,Emily Griffith Technical College,,,,,,
3521,Regis University,530.0,575.0,620.0,520.0,565.0,610.0
3522,Rocky Mountain College of Art and Design,,,,,,
3523,Connecticut College,650.0,680.0,710.0,640.0,680.0,720.0
3524,New England Tractor Trailer Training School of Connecticut,,,,,,
3525,Metropolitan State University of Denver,460.0,510.0,560.0,440.0,495.0,550.0
3526,Carlos Albizu University-Miami,,,,,,
3527,Lorenzo Walker Technical College,,,,,,
3528,The Baptist College of Florida,430.0,435.0,440.0,400.0,415.0,430.0
3529,South University-West Palm Beach,,,,,,
3530,Eckerd College,550.0,600.0,650.0,530.0,580.0,630.0
3531,Florida SouthWestern State College,,,,,,
