,School,sat_scores.25th_percentile.critical_reading,sat_scores.midpoint.critical_reading,sat_scores.75th_percentile.critical_reading,sat_scores.25th_percentile.math,sat_scores.midpoint.math,sat_scores.75th_percentile.math
223,Western Seminary,,,,,,
224,Lane Community College,,,,,,
225,Northwest College-Clackamas,,,,,,
226,University of Portland,580.0,620.0,660.0,560.0,610.0,660.0
227,Pennsylvania State University-Dickinson Law,,,,,,
228,Douglas Education Center,,,,,,
229,Aria Health School of Nursing,,,,,,
230,Jolie Hair and Beauty Academy-Wilkes-Barre,,,,,,
231,Moore College of Art and Design,570.0,615.0,660.0,520.0,565.0,610.0
232,St Margaret School of Nursing,,,,,,
233,Pennsylvania State University-Penn State Beaver,490.0,545.0,600.0,510.0,560.0,610.0
234,Triangle Tech Inc-Greensburg,,,,,,
235,Bryant University,,,,,,
236,New England Institute of Technology,,,,,,
237,Technical College of the Lowcountry,,,,,,
238,Providence College,610.0,640.0,670.0,600.0,645.0,690.0
239,Kenneth Shuler School of Cosmetology and Nails-Columbia,,,,,,
240,Community College of Rhode Island,,,,,,
241,Avera Sacred Heart Hospital,,,,,,
242,Headlines Academy Inc,,,,,,
243,Memphis College of Art,,,,,,
244,University of Memphis,500.0,560.0,620.0,470.0,530.0,590.0
245,Tennessee College of Applied Technology-Oneida-Huntsville,,,,,,
246,Walters State Community College,,,,,,
247,William Moore College of Technology,,,,,,
248,Southwest Tennessee Community College,,,,,,
249,Trevecca Nazarene University,520.0,575.0,630.0,490.0,550.0,610.0
250,Baylor University,600.0,640.0,680.0,590.0,640.0,690.0
251,Jarvis Christian College,,,,,,
252,Dallas Theological Seminary,,,,,,
253,Vet Tech Institute of Houston,,,,,,
254,Trinity Valley Community College,,,,,,
255,Laredo Beauty College Inc,,,,,,
256,Cisco College,,,,,,
257,El Paso Community College,,,,,,
258,College of the Mainland,,,,,,
259,Episcopal Theological Seminary of the Southwest,,,,,,
260,Exposito School of Hair Design,,,,,,
261,Covenant School of Nursing and Allied Health,,,,,,
262,University of Houston-Downtown,470.0,505.0,540.0,470.0,505.0,540.0
263,University of Houston-Victoria,,,,,,
264,Howard Payne University,480.0,520.0,560.0,470.0,505.0,540.0
265,Huston-Tillotson University,410.0,450.0,490.0,400.0,445.0,490.0
266,International Business College-El Paso,,,,,,
267,Texas A & M University-Kingsville,470.0,520.0,570.0,470.0,515.0,560.0
268,Aviation Institute of Maintenance-Houston,,,,,,
269,Southwest School of Business and Technical Careers-San Antonio,,,,,,
270,Tint School of Makeup and Cosmetology-Irving,,,,,,
271,The University of Texas at Austin,620.0,670.0,720.0,610.0,685.0,760.0
272,Saint Edward's University,550.0,600.0,650.0,530.0,575.0,620.0
273,Lone Star College System,,,,,,
274,The University of Texas at Tyler,550.0,595.0,640.0,530.0,585.0,640.0
275,Southwestern Adventist University,470.0,520.0,570.0,440.0,490.0,540.0
276,Northeast Texas Community College,,,,,,
277,The University of Texas of the Permian Basin,490.0,530.0,570.0,480.0,520.0,560.0
278,Seguin Beauty School-Seguin,,,,,,
279,Ogle School Hair Skin Nails-Ft Worth,,,,,,
280,Texas Tech University,540.0,580.0,620.0,530.0,575.0,620.0
281,Western Texas College,,,,,,
